ProductID,ProductCategory,ProductSubcategory,ProductGroup,ProductVendor,ProductName,ProductModel,ProductUnitCost,ProductUnitPrice,ProductWeight
1,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,CROSS TRAINER,PFEL4501,290.61,334.2015,84
2,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,ELLIPTICAL,PFEL77807,462.77,629.3672,144
3,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,ELLIPTICAL MACHINE,WLEL2005,179.27,245.5999,116
4,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL33105,300.11,351.1287,80
5,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL39507,305.67,388.2009,152
6,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL51104,471.22,631.4348,136
7,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL59707,427.93,569.1469,133
8,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL63105,513,610.47,123
9,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL68505,383.77,533.4403,174
10,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL72104,591.46,804.3856,165
11,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL78807,579.98,719.1752,162
12,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL91105,808.93,1011.1625,84
13,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL9506,558.61,815.5706,84
14,ACCESSORIES,HEALTH & FITNESS,Exercise Equipment,Vendor 371,TREADMILL,PFTL97908,579.98,823.5716,95
